docID	label	text
a service learning framework to support an mlis core curriculum	2011	this paper identifies the core areas of the master of library and information studies mlis curriculum at the school of library and information studies slis university of alabama that informed student experiences during an ongoing service learning project designed to provide basic technology literacy training to individuals with intellectual disabilities this study was conducted to assess whether student participation complemented or expanded the knowledge and skills gained from the mlis core through application in an external setting the knowledge and skills acquired by the students are intended to raise consciousness of critical literacy issues that will enable students to participate in community engagement beyond their mlis program through this study the authors evaluate a project framework designed to connect student experiences in a training based project with the core areas of the mlis curriculum preliminary analysis demonstrates potential for the framework to serve as a practical generalization for developing similar basic technology literacy projects that can complement what is taught in other mlis programs
the non white mans burden in lis education	2019	traditionally american library and information science lis education and librarianship have been predominantly white and female oriented professions as an international gay male person of color originally from india in its ranks i have embraced social justice scholarship outside and within our bastion institutions of higher learning during a 145 year tenure as an lis educator in the united states this article reflects on select experiences as a minority along multiple intersectional dimensions of human experience and socially constructed identity markers including raceethnicity national origins sex gender and sexual orientation indulging in these musings allows me to decipher layers of complexities shaping faculty interpersonal microaggressions a perceived lack of equal equitable recognition of contributions and limited comparable administrative growth opportunities these are discussed as hypothesized encounters in the form of few imagined scenarios or key episodes connected in the form of a searching narrative it develops an alternative voice to identify possible directions that might transform lis education beyond its feel good practices policies surrounding diversity inclusion and collegiality and give it greater relevance in the twenty first century the goal is to engage authentic conversations that address behaviors of perceived prejudice bias abuse and discrimination intentional or unintentional by lis faculty administrators targeting male faculty of color and marginalized others eg first generation graduates in academic and professional networks
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003	2007	this exploratory study examines the number of african american female doctoral recipients in library and information science lis and their research interests in the past ten years it enhances understanding of what african american female phd recipients plan to contribute to the lis field through what they have found important to study in their dissertation research these areas of study provide insight into the participation of african american women in lis and the amount of research focus being given to information issues related to african americans this paper presents these data and findings within the context of diversity in doctoral education in lis and historical issues of the participation of african americans in lis education recommendations and areas of future research generated from findings are proposed to further explore the implications of the findings discussed in this paper and to assist graduate school administrators in refining recruitment methods that will serve to attract more african american women to the lis field
igniting diversity	2015	the association for library and information science education alise appointed a five member taskforce in 2011 to pursue the development of an alise statement on diversity two years later the alise membership voted unanimously to adopt the statement in an effort to move the statement from mere words on paper the taskforce provided actionable models and ideas in an â€œigniteâ€ session on diversity in this collaborative piece four members of the ignite diversity panel share their ideas experiences and methods for advancing diversity in the classroom and beyond professors renate chancellor clara chu howard rodriguez mori and loriene roy provide ideas and real world examples that can be readily implemented in the classroom in research and at the institutional level while the united states provides the context for these discussions many of these methods and ideas are readily adaptable to countries across the globe
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts	2011	this paper reports on the preliminary results from a pilot study conducted to examine library and information science lis students perceptions of their level of preparation for becoming culturally competent lis professionals students participated in an electronic survey which contained a likert scale measuring three areas of cultural competence self awareness education and interaction a gap analysis technique was employed to detect discrepancies between students prior knowledge and actual learning relative to cultural competence this article discusses student reported gaps in knowledge for the section of the questionnaire on education students indicated that all of the concepts introduced in this section were important to learn but their level of knowledge gained varied from no or low levels to moderate levels of actual learning
gazing the diversity stance in north america	2016	this article is an exploration of ways in which lis educators can consider culture heritage and identity as a framework for becoming participatory agents of their teaching practices in the lis classroom to support this framework this discussion introduces the research methodology practitioner inquiry as a meaningful approach to studying pedagogical practice and identity in the lis classroom as a means to lis educators becoming more self reflective and aware of the impacts of their own identity construction in their teaching in this article i am affirming the case for a diversity stance within the north american lis curriculum i am also posing additional questions and challenges about lis identity construction and professional practice as we teach and learn in the classroom
alternative perspectives in library and information science issues of race	1996	since the 1970s most disciplines and schools of professional studies have developed their areas of curriculum research and theory construction by including race and ethnic studies at the same time library and information studies has lagged in providing a broader understanding of race and librarianship although attempts have been made to fill the racial understanding gap most of the work is characterized as exceptional pioneer biography with little attention given to broader social constructs of race and racism this article explores how library and information science education falls short in contributing to the literature on race and racism the current multicultural movement in library science is to be addressed
unpacking library posters a theoretical approach	2001	this paper explores the semiotic aspects of poster graphics observed as furnishings in selected libraries specifically the paper analyzes the poster series produced and marketed by the american library association ala as advertisements to promote reading and library use and considers how the behavior exhibited in these commercial scenes creates a discourse and subject positions that may ultimately be disconfirming for some library users the theoretical framework for the study draws on a constitutive view of communication which acknowledges the construction of knowledge and identity in interaction within social situations within this framework foucaults theory of discursive formation makes it possible to understand poster graphics as discursive practice while scheffs theory of the social bond draws attention to the unforeseen consequences for both library users and library professionals of the world view created by such posters
planning lis doctoral education around a focused theme	2016	this report discusses the overcoming barriers to information access b2a program this is a doctoral cohort program at the university of wisconsin milwaukee funded by the institute for museum and library services the program has focused on educating the next generation of doctoral graduates in library and information science with an emphasis on the theme of overcoming barriers to information access fellows were provided resources to support their educational activities research and instructional experiences in this paper the principal investigator for the program and the b2a fellows reflect on the challenges and the rewards of their experiences in the program key findings that emerged include the importance of building community throughout the program and exposure to diverse perspectives this initiative shows that although funding packages provide important resources to students they do not buy extra time the reflections in this paper provide insights into the doctoral student experience that can benefit other library and information science doctoral programs
impolite hostilities and vague sympathies	2019	in this autoethnographic article i reflect on my experiences as a now tenured faculty member of color which have been punctuated by incivility bullying stress and abuse as part of reconciling several acute events i came to a distinct realization of what i had been going through i was able to name it and i was able to articulate the strategies i had been using to cope and thrive this reflective piece is not meant to minimize the experiences of non minority faculty but it is absolutely meant to highlight and emphasize the specific challenges of being faculty member of color in library and information science and in the academy writ large
