Source,Target,Weight,Type
docID,8,1,undirected
a service learning framework to support an mlis core curriculum,1,0.062111801,undirected
a service learning framework to support an mlis core curriculum,3,0.037267081,undirected
a service learning framework to support an mlis core curriculum,5,0.14906832,undirected
a service learning framework to support an mlis core curriculum,6,0.01863354,undirected
a service learning framework to support an mlis core curriculum,7,0.037267081,undirected
a service learning framework to support an mlis core curriculum,8,0.080745342,undirected
a service learning framework to support an mlis core curriculum,10,0.055900621,undirected
a service learning framework to support an mlis core curriculum,11,0.080745342,undirected
a service learning framework to support an mlis core curriculum,12,0.0062111801,undirected
a service learning framework to support an mlis core curriculum,13,0.01242236,undirected
a service learning framework to support an mlis core curriculum,14,0.01242236,undirected
the non white mans burden in lis education,2,0.018691589,undirected
the non white mans burden in lis education,3,0.0046728972,undirected
the non white mans burden in lis education,4,0.028037383,undirected
the non white mans burden in lis education,5,0.065420561,undirected
the non white mans burden in lis education,6,0.046728972,undirected
the non white mans burden in lis education,7,0.074766355,undirected
the non white mans burden in lis education,8,0.014018692,undirected
the non white mans burden in lis education,9,0.074766355,undirected
the non white mans burden in lis education,10,0.037383178,undirected
the non white mans burden in lis education,11,0.070093458,undirected
the non white mans burden in lis education,13,0.08411215,undirected
the non white mans burden in lis education,14,0.093457944,undirected
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003,0,0.055900621,undirected
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003,7,0.043478261,undirected
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003,8,0.062111801,undirected
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003,9,0.068322981,undirected
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003,11,0.14906832,undirected
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003,13,0.01863354,undirected
a decade of doctorates an examination of dissertations written by african american women in library and information studies 1993 2003,14,0.062111801,undirected
igniting diversity,2,0.021126761,undirected
igniting diversity,3,0.1056338,undirected
igniting diversity,5,0.11971831,undirected
igniting diversity,6,0.13380282,undirected
igniting diversity,7,0.035211268,undirected
igniting diversity,13,0.0070422535,undirected
igniting diversity,14,0.11971831,undirected
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts,3,0.025,undirected
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts,4,0.125,undirected
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts,5,0.16666667,undirected
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts,7,0.058333333,undirected
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts,8,0.16666667,undirected
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts,10,0.0083333333,undirected
are we there yet results of a gap analysis to measure lis students prior knowledge and actual learning of cultural competence concepts,11,0.016666667,undirected
gazing the diversity stance in north america,2,0.025862069,undirected
gazing the diversity stance in north america,3,0.043103448,undirected
gazing the diversity stance in north america,4,0.051724138,undirected
gazing the diversity stance in north america,5,0.18103448,undirected
gazing the diversity stance in north america,6,0.0086206897,undirected
gazing the diversity stance in north america,10,0.1637931,undirected
gazing the diversity stance in north america,14,0.0086206897,undirected
alternative perspectives in library and information science issues of race,3,0.08411215,undirected
alternative perspectives in library and information science issues of race,6,0.028037383,undirected
alternative perspectives in library and information science issues of race,7,0.12149533,undirected
alternative perspectives in library and information science issues of race,10,0.056074766,undirected
alternative perspectives in library and information science issues of race,12,0.0093457944,undirected
alternative perspectives in library and information science issues of race,13,0.037383178,undirected
alternative perspectives in library and information science issues of race,14,0.11214953,undirected
unpacking library posters a theoretical approach,1,0.037313433,undirected
unpacking library posters a theoretical approach,3,0.029850746,undirected
unpacking library posters a theoretical approach,5,0.02238806,undirected
unpacking library posters a theoretical approach,10,0.17164179,undirected
unpacking library posters a theoretical approach,11,0.037313433,undirected
unpacking library posters a theoretical approach,12,0.074626866,undirected
