doc_id,topic,proportion,file,fileName,id,abstract,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,file.1,decade
processed_fulltext_100.txt,Topic_1,0.995986601,fulltext_100,fulltext_100.txt,http://www.jstor.org/stable/40323823,"School Library Media Specialist training via distance education is of interest to the library community which is seeking to stem the shortage of school library personnel. However, the effectiveness of distance education compared to face-to-face delivery has not been thoroughly evaluated. This study compares one graduate-level School Library Media Specialist program delivered both through online and face-to-face instructional delivery methods. We found that, for the most part, the two student cohorts (distance and face-to-face) performed equally in the areas demonstrating content knowledge. However, the online cohort earned fewer points than the face-to-face cohort on some project activities demonstrating the difficulty in relating the intricacies of project work via an online course. This study suggests that the delivery of School Library Media Specialist training can be conducted through an online format if attention is paid to communicating the details of project based work.",A Comparison of Online and Face-to-Face Cohorts in a School Library Media Specialist Graduate Program: A Preliminary Study,Journal of Education for Library and Information Science,2006,10.2307/40323823,article,research-article,jstor,,10/1/2006,4,47,http://www.jstor.org/stable/40323823,Shana Pribesh; Gail K. Dickinson; Katherine T. Bucher,Association for Library and Information Science Education (ALISE),eng,303,323,,online; library; cohorts; library media; online cohort; school library; students; two cohorts; project; face cohort,8001,21,284c5376-5c81-4da3-7f2c-a69053b33c64,2000
processed_fulltext_109.txt,Topic_1,0.732249308,fulltext_109,fulltext_109.txt,http://www.jstor.org/stable/10.1086/506462,"This article explores the future trajectory of librarianship and its status as a profession in the context of the contested terrain of the information professions and particularly the development of a differentiated information technology workforce. Andrew Abbott's theory of the system of professions informs the historical comparison and future forecasting of the relative power of librarianship and the emerging information technology professions to persist into the twenty‐first century. How might value differences manifest themselves in the development of a legitimatizing process for information technology education? What effect might these have on the future development of information technology degree programs offered within schools of information studies? Is it likely that the stability that ALA has enjoyed as a mediator between librarianship and the discipline of information studies will be challenged? Finally, what are the likely consequences for the status of the profession of librarianship?",Contested Terrain: Accreditation and the Future of the Profession of Librarianship,"The Library Quarterly: Information, Community, Policy",2006,10.1086/506462,article,research-article,jstor,,4/1/2006,2,76,http://www.jstor.org/stable/10.1086/506462,Kathleen M. Burnett; Laurie J. Bonnici,The University of Chicago Press,en,193,219,,accreditation; librarianship; programs; computer science; library; schools; disciplinary identity; professionalization; standards; degree programs,10660,27,284c5376-5c81-4da3-7f2c-a69053b33c64,2000
processed_fulltext_11.txt,Topic_1,0.999928272,fulltext_11,fulltext_11.txt,http://www.jstor.org/stable/90015187,"This paper presents a large scale study of online MLIS students (n = 910), who completed at least one online course and were enrolled in 36 of the 58 ALA-accredited MLIS programs in Canada and the United States. The results indicate that the typical student is female, White, lives in an urban setting, and is in her mid-30s. Online students were found to be quite diverse, with statistically significant differences in their preferences and satisfaction across five demographic variables: age (generational cohort), employment status, urban status, commute distance, and program modality. Three motivations emerged: accommodation, predisposition, and selectivity, which influenced the respondents to choose online learning. The prevalent issues online MLIS students experienced were a sense of isolation from peers and instructors, and a lack of professional development and networking opportunities with peers. The findings have implications for enhancing MLIS online education including marketing, course offerings, and student support services.",Studying Online,Journal of Education for Library and Information Science,2015,10.2307/90015187,article,research-article,jstor,,7/1/2015,3,56,http://www.jstor.org/stable/90015187,Fatih Oguz; Clara M. Chu; Anthony S. Chow,Association for Library and Information Science Education (ALISE),eng,213,231,,online; online mlis; students; education; online education; ala accredited; lis programs; mlis students; online classes; online courses,8944,19,5ba600e5-1e80-4ff3-edf9-458ad76b1059,2010
processed_fulltext_123.txt,Topic_1,0.99990068,fulltext_123,fulltext_123.txt,http://www.jstor.org/stable/40323951,"In order to support the mission of the University of Pretoria (South Africa) the tuition methods in a number of modules in the Department of Information Science have been transformed from traditional classroom presentations to a learner-centered approach supported by web-based material in a flexilearning environment. A comparison is drawn between the honors (fourth year) program in library and information science (LIS) and the undergraduate program in multimedia with regard to program outline, student profile, teaching methods, the support of the Academic Information Service (AIS) and information technology (IT), as well as the attitude of the students toward the changes. Qualitative methods of data collection were used. Problems and successes are highlighted. In conclusion, a number of recommendations are made.",Web-Supported Teaching in the Department of Information Science at the University of Pretoria,Journal of Education for Library and Information Science,2002,10.2307/40323951,article,research-article,jstor,,10/1/2002,4,43,http://www.jstor.org/stable/40323951,Theo J. D. Bothma; Retha (M. M. M.) Snyman,Association for Library and Information Science Education (ALISE),eng,249,261,,students; multimedia; programs; modules; teaching; lecturers; telematic; science; pretoria; honors,6625,13,284c5376-5c81-4da3-7f2c-a69053b33c64,2000
processed_fulltext_125.txt,Topic_1,0.778449436,fulltext_125,fulltext_125.txt,http://www.jstor.org/stable/40323193,"This paper discusses the challenges and opportunities that multiculturalism presents to library and information science education. Multiculturalism here is synonymous with cultural diversity and denotes the recent critical concepts that are counterposed to ethnocentrism, cultural monolithicism, and the assumption of epistemological universality. The aim of this essay is to develop conceptual strategies that will contribute to the operationalization of a multicultural curriculum. To provide that framework, the discussions draw upon concepts and literature from a variety of research fields that deal with the role of culture in human cognitive processes and informational behaviors. These include anthropology, cross-cultural psychology, ethnocognitivism, and intercultural communication.",Conceptual Strategies for Operationalizing Multicultural Curricula,Journal of Education for Library and Information Science,1992,10.2307/40323193,article,research-article,jstor,,10/1/1992,4,33,http://www.jstor.org/stable/40323193,Getinet Belay,Association for Library and Information Science Education (ALISE),eng,295,306,,communication; intercultural communication; cultural; multicultural; multicultural curricula; calif sage; cultural diversity; library; newbury park; operationalizing multicultural,5561,12,284c5376-5c81-4da3-7f2c-a69053b33c64,1990
processed_fulltext_129.txt,Topic_1,0.999933683,fulltext_129,fulltext_129.txt,http://www.jstor.org/stable/40322912,"This article is the first in a series of reports on the indicators and dimensions of effectiveness that constituents of American Library Association (ALA)-accredited programs of library and information studies (LIS) believe are useful for evaluating the host schools. Members of the four constituent groups were surveyed: senior academic administrators, ALA's Committee on Accreditation (COA), employers of alums, and alums. The distinct nature of each constituent group is profiled by focusing on the preference each gives to the placement of seventy effectiveness indicators. In addition, brief description is given of twenty-four indicators upon which the constituent groups exhibit their greatest agreement.",Profiles of Constituent Groups: Indicators of Effectiveness of Schools of Library and Information Studies,Journal of Education for Library and Information Science,1995,10.2307/40322912,article,research-article,jstor,,4/1/1995,2,36,http://www.jstor.org/stable/40322912,Rebecca Watson-Boone; Darlene E. Weingand,Association for Library and Information Science Education (ALISE),eng,104,125,,faculty; indicators; school; administrators; employers; graduates; constituent groups; constituent; curriculum; library,10539,22,284c5376-5c81-4da3-7f2c-a69053b33c64,1990
processed_fulltext_140.txt,Topic_1,0.999911007,fulltext_140,fulltext_140.txt,http://www.jstor.org/stable/90015281,"A small number of LIS degree programs have adopted a diversified approach to research methods education, including offering an array of specialized research methods courses in addition to a general introductory course. The current study conducted an in-depth investigation of the diversified research methods curriculum of the LIS program at San Jose State University. The curriculum featured ten different research methods courses, and permitted students to make a selection to fulfill the requirement. Students tended to base their selections on individual interests, and reported a high level of satisfaction with their learning experience. The current study examined different aspects of the diversified curriculum from the student perspective, and reviewed the implications of this curricular model.",Diversified Research Methods Education in LIS,Journal of Education for Library and Information Science,2017,10.2307/90015281,article,research-article,jstor,,4/1/2017,2,58,http://www.jstor.org/stable/90015281,Lili Luo,Association for Library and Information Science Education (ALISE),eng,49,63,,research; methods; students; course; methods course; diversified research; diversified; curriculum; library; methods education,7644,15,284c5376-5c81-4da3-7f2c-a69053b33c64,2010
processed_fulltext_158.txt,Topic_1,0.839224174,fulltext_158,fulltext_158.txt,http://www.jstor.org/stable/40323970,"At the same time that professional master's programs in fields like library and information science (LIS) are experiencing unprecedented growth, there are emerging pressures on master's education. In broad strokes, this paper identifies the major external and internal forces influencing professional master's education and, in turn, proposes a framework for avoiding potential pitfalls and seizing opportunities in positioning master's programs in library and information science for the foreseeable future. After examining four internal and five external forces affecting master's programs, the paper reviews and then critiques a trio of popular models for responding to these forces. The paper concludes by advancing five courses-of-action aimed at helping LIS program faculty and administrators respond to the external and internal forces acting on their programs.",Positioning Master's Programs in Library and Information Science: A Template for Avoiding Pitfalls and Seizing Opportunities in Light of Key External and Internal Forces,Journal of Education for Library and Information Science,2002,10.2307/40323970,article,research-article,jstor,,4/1/2002,2,43,http://www.jstor.org/stable/40323970,Clifton F. Conrad; Kim Rapp-Hanretta,Association for Library and Information Science Education (ALISE),eng,92,104,,masters programs; masters education; education; professional masters; faculty; positioning masters; students; internal forces; programmatic identity; library,7591,13,5ba600e5-1e80-4ff3-edf9-458ad76b1059,2000
processed_fulltext_163.txt,Topic_1,0.882776596,fulltext_163,fulltext_163.txt,http://www.jstor.org/stable/40323362,,From Our Readers...,Journal of Education for Library and Information Science,1991,10.2307/40323362,article,research-article,jstor,,7/1/1991,2-Jan,32,http://www.jstor.org/stable/40323362,Peggy Sullivan,Association for Library and Information Science Education (ALISE),eng,147,149,,library; library education; education programs; reforma; library education programs; uclas gslis; gslis faculty; uclas graduate; minority; librarians,1259,3,5ba600e5-1e80-4ff3-edf9-458ad76b1059,1990
processed_fulltext_167.txt,Topic_1,0.867632311,fulltext_167,fulltext_167.txt,http://www.jstor.org/stable/40323901,"Library and Information Science (LIS) schools have produced a limited number of Latino masters in library science (MLS) graduates, but they have not attracted them back to pursue doctoral studies and teaching positions. Using a semi-structured interview technique, eight ""expert"" Latino librarians were interviewed for their perspectives on the barriers preventing Latino LIS professionals from pursuing positions as LIS faculty. This exploratory investigation identifies four specific barriers which are perceived as contributing to the lack of Latino LIS faculty: isolation from the academy, ethnocentrism within LIS education, financial concerns, and personal concerns.",Latino Librarians on Becoming LIS Educators: An Exploratory Investigation of the Barriers in Recruiting Latino Faculty,Journal of Education for Library and Information Science,2004,10.2307/40323901,article,research-article,jstor,,4/1/2004,2,45,http://www.jstor.org/stable/40323901,Denice Adkins,Association for Library and Information Science Education (ALISE),eng,149,161,,latino; faculty; library; latino librarians; respondent; doctoral; latino lis; lis faculty; students; education,6627,13,5ba600e5-1e80-4ff3-edf9-458ad76b1059,2000
